epoch,train_loss,train_pr_auc,val_loss,val_pr_auc
1,0.37721566379995036,0.8003175669921396,0.37666263934454697,0.8200532305558147
2,0.22289708742806758,0.9197485914211223,0.3771123902193825,0.8337792658032839
3,0.17258851315947354,0.9478740976595821,0.3903856020866576,0.8504525390968196
4,0.1471499645370966,0.957877412540871,0.5329702299637143,0.8219019285671861
5,0.12952239774858543,0.9654126778747916,0.3775113105380014,0.8066250002842394
6,0.10451959517303724,0.9721336860783102,0.29499254943583647,0.8889432746363416
7,0.09191299918256018,0.978538690592723,0.4145925872663236,0.8465051483366662
8,0.06928526605488292,0.9848083137573369,0.5911509714143146,0.8561749830987814
9,0.06269347532107375,0.9870883891933062,0.8696450744021281,0.8075737956771506
10,0.042567679726362,0.9916901248530617,0.8081469946095831,0.765430848162181
11,0.0304493524235056,0.9937514579366215,0.5347750042812647,0.8668869888330234
